pixar,Alfredo Linguini,https://disney.fandom.com/wiki/Alfredo_Linguini
pixar,Remy,https://disney.fandom.com/wiki/Remy
pixar,Colette Tatou,https://disney.fandom.com/wiki/Colette_Tatou
pixar,Anton Ego,https://disney.fandom.com/wiki/Anton_Ego
pixar,Skinner,https://disney.fandom.com/wiki/Chef_Skinner
pixar,Marlin,https://disney.fandom.com/wiki/Marlin
pixar,Bruce,https://disney.fandom.com/wiki/Bruce
pixar,Nemo,https://disney.fandom.com/wiki/Nemo
pixar,Dory,https://disney.fandom.com/wiki/Dory
pixar,Woody,https://disney.fandom.com/wiki/Woody
pixar,Buzz Lightyear,https://disney.fandom.com/wiki/Buzz_Lightyear
pixar,Sid,https://disney.fandom.com/wiki/Sid_Phillips
pixar,Bo-Peep,https://disney.fandom.com/wiki/Bo_Peep
pixar,Rex,https://disney.fandom.com/wiki/Rex
pixar,Slinky Dog,https://disney.fandom.com/wiki/Slinky_Dog
pixar,Hamm,https://disney.fandom.com/wiki/Hamm
pixar,Mr. Potato Head,https://disney.fandom.com/wiki/Mr._Potato_Head
pixar,Mrs. Potato Head,https://disney.fandom.com/wiki/Mrs._Potato_Head
pixar,Miguel,https://disney.fandom.com/wiki/Miguel_Rivera
pixar,Ernesto de la Cruz,https://disney.fandom.com/wiki/Ernesto_de_la_Cruz
pixar,Hector,https://disney.fandom.com/wiki/H%C3%A9ctor
pixar,Russell,https://disney.fandom.com/wiki/Russell
pixar,Carl Fredricksen,https://disney.fandom.com/wiki/Carl_Fredricksen
pixar,Charles Muntz,https://disney.fandom.com/wiki/Charles_Muntz
pixar,Dug,https://disney.fandom.com/wiki/Dug
pixar,Sullivan,https://disney.fandom.com/wiki/James_P._Sullivan
pixar,Mike Wazowski,https://disney.fandom.com/wiki/Mike_Wazowski
pixar,Boo,https://disney.fandom.com/wiki/Boo
pixar,Randall Boggs,https://disney.fandom.com/wiki/Randall_Boggs
pixar,Roz,https://disney.fandom.com/wiki/Roz
pixar,Henry Waternoose,https://disney.fandom.com/wiki/Henry_J._Waternoose_III
pixar,Lightning McQueen,https://disney.fandom.com/wiki/Lightning_McQueen
pixar,Mater,https://disney.fandom.com/wiki/Mater
pixar,Bob Parr (Mr. Incredible),https://disney.fandom.com/wiki/Mr._Incredible
pixar,Helen Parr (Elastigirl),https://disney.fandom.com/wiki/Elastigirl
pixar,Dash,https://disney.fandom.com/wiki/Dash_Parr
pixar,Violet,https://disney.fandom.com/wiki/Violet_Parr
pixar,Edna Mode,https://disney.fandom.com/wiki/Edna_Mode
pixar,Frozone,https://disney.fandom.com/wiki/Frozone
pixar,Syndrome,https://disney.fandom.com/wiki/Syndrome
pixar,Glibert Huph,https://disney.fandom.com/wiki/Gilbert_Huph
